run,split,N,mass_ratio,Q_tag,Q_soft,Q_unsoft,amp_factor,old_metric,new_metric,old_fail,conv_residual,dt,h_over_tcrossE,h_over_tcrossU,max_n_sub,force_evals,min_sep,min_sep_over_eps,jump_share,n_snapshots
cluster_01054.h5,train,4,3,0.661571,0.661579,0.661571,0.66921,0.000107478,7.19257e-05,False,1.88424e-16,0.01,0.00999974,0.018266,214,205080,0.00546465,2.73232,0.116333,101
cluster_01055.h5,train,4,3,1.11666,1.1167,1.11666,0.441651,0.000175154,7.7357e-05,False,0,0.01,0.00999876,0.0340665,194,199398,0.0284651,14.2326,0.10411,100
cluster_01056.h5,train,4,3,1.20392,1.20396,1.20392,0.398022,6.45981e-05,2.57115e-05,False,2.6355e-16,0.01,0.00999874,0.0398184,190,202626,0.0417407,20.8703,0.130013,100
cluster_01057.h5,train,4,3,1.32684,1.32692,1.32684,0.336542,0.000788495,0.000265362,False,0,0.01,0.00999751,0.0512075,229,483180,0.0162732,8.13661,0.099329,100
cluster_01058.h5,train,4,3,1.35476,1.35483,1.35476,0.322584,0.0002288,7.38071e-05,False,1.83621e-16,0.01,0.00999755,0.0545669,157,187707,0.0250666,12.5333,0.253546,100
cluster_01059.h5,train,4,3,1.4347,1.43498,1.4347,0.282511,0.000153334,4.33185e-05,False,0,0.01,0.00998975,0.0665274,234,265098,0.036648,18.324,0.0935444,100
cluster_01060.h5,train,4,7,0.318802,0.318807,0.318802,0.840597,0.000202728,0.000170412,False,0,0.01,0.00999974,0.012975,239,447126,0.0280045,14.0022,0.0470038,100
cluster_01061.h5,train,4,7,0.432655,0.432662,0.432655,0.783669,0.00230103,0.00180325,False,1.2025e-16,0.01,0.00999969,0.0144141,261,276252,0.00410375,2.05188,0.361666,101
cluster_01062.h5,train,4,7,0.501338,0.501349,0.501338,0.749325,0.000708053,0.000530562,False,2.0435e-16,0.01,0.00999956,0.0154161,265,363693,0.0445,22.25,0.038859,100
cluster_01063.h5,train,4,7,0.605909,0.605928,0.605909,0.697036,0.00147587,0.00102873,False,0,0.01,0.00999931,0.0171825,264,300069,0.0188823,9.44113,0.317321,100
cluster_01064.h5,train,4,7,0.635173,0.635193,0.635173,0.682403,0.00241554,0.00164837,False,0,0.01,0.00999929,0.0177381,278,263325,0.00289496,1.44748,0.0961879,113
cluster_01065.h5,train,4,7,1.17844,1.17853,1.17844,0.410733,0.00188902,0.000775883,False,1.39738e-16,0.01,0.00999704,0.037978,265,410970,0.00583877,2.91939,0.081004,101
cluster_01066.h5,train,4,7,1.21143,1.21161,1.21143,0.394193,0.000742253,0.000292591,False,0,0.01,0.00999417,0.0403815,186,218295,0.0276479,13.8239,0.430371,100
cluster_01067.h5,train,4,7,1.29628,1.29641,1.29628,0.351796,0.0034516,0.00121426,False,1.78578e-16,0.01,0.00999567,0.0479044,270,446262,0.0035149,1.75745,0.190891,103
cluster_01068.h5,train,4,7,1.36194,1.3621,1.36194,0.31895,0.00935875,0.00298498,False,1.45288e-16,0.01,0.00999461,0.0554857,274,585222,0.00444797,2.22398,0.082518,118
